127.0.0.1 - - [07/Aug/2020:09:36:33 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:37 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:37 +0900] "GET /Nexon/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:37 +0900] "GET /Nexon/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:37 +0900] "GET /Nexon/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/css/id_find.css HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/css/menu.css HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/js/menu.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/images/main_logo.png HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/images/close.png HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:38 +0900] "GET /Nexon/images/list_icon.png HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:36:59 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:39:07 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:39:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:39:16 +0900] "POST /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:39:42 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:39:49 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:06 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:06 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:53 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:53 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:56 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:45:56 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:46:40 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:46:40 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:46:44 +0900] "GET /Nexon/css/idFindProc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:09:47:35 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 382
