127.0.0.1 - - [09/Sep/2020:18:06:16 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/css/menu.css HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/css/banner.css HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/css/mobile_main.css HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:07 +0900] "GET /Nexon/js/menu.js HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/css/main.css HTTP/1.1" 200 11145
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/js/main.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/js/banner.js HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/main_logo.png HTTP/1.1" 200 14352
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/close.png HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/list_icon.png HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/game_2.png HTTP/1.1" 200 207877
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/game_1.png HTTP/1.1" 200 81828
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/game_3.png HTTP/1.1" 200 163456
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/mobile_game_2.png HTTP/1.1" 200 181470
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/mobile_game_3.png HTTP/1.1" 200 208802
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/mobile_game_1.png HTTP/1.1" 200 231161
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/other_login_btn_1.png HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/other_login_btn_2.png HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/other_login_btn_3.png HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/other_login_btn_4.png HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/footer_logo.PNG HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/prev_icon.png HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/next_icon.png HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /Nexon/images/pause_icon.png HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:09 +0900] "GET /Nexon/images/start_icon.png HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:16 +0900] "GET /Nexon/login/id_find.jsp HTTP/1.1" 200 12551
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:16 +0900] "GET /Nexon/css/id_find.css HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:16 +0900] "GET /Nexon/js/id_find.js HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:37 +0900] "POST /Nexon/login/idFindProc.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [09/Sep/2020:18:07:37 +0900] "GET /Nexon/css/findProc.css HTTP/1.1" 404 1145
